dt_ps,vpos,fiber,S_mle,S_mean,S_std,significance_sigma,entangled_2sigma,purity,m1,m2
37.75,67,HCF,1.223086,1.21968,0.017323,-45.0455,False,0.366709,0.227868,0.146117
38.5,87,HCF,1.264567,1.264754,0.019939,-36.8747,False,0.365668,0.204208,0.195574
39.75,107,HCF,1.330355,1.330688,0.018668,-35.8532,False,0.376456,0.232996,0.209465
58.5,127,HCF,1.527471,1.531717,0.021004,-22.295,False,0.41366,0.317252,0.26604
78.0,147,HCF,1.878968,1.876627,0.018875,-6.5363,False,0.530573,0.462648,0.419983
97.25,167,HCF,2.217988,2.216527,0.015193,14.2519,True,0.662173,0.618659,0.611208
116.75,187,HCF,2.401818,2.406559,0.019167,21.2113,True,0.778592,0.738039,0.704144
136.75,207,HCF,2.505206,2.507293,0.012579,40.3286,True,0.81593,0.853263,0.715751
157.5,227,HCF,2.566045,2.567734,0.01144,49.626,True,0.854503,0.869058,0.777089
177.5,247,HCF,2.644875,2.643909,0.009624,66.9077,True,0.894139,0.931726,0.817114
197.75,267,HCF,2.642995,2.642059,0.009065,70.8258,True,0.892333,0.932164,0.814192
218.5,287,HCF,2.631636,2.630671,0.008914,70.7495,True,0.884659,0.923437,0.807941
238.0,307,HCF,2.629898,2.627187,0.009204,68.1419,True,0.886347,0.920112,0.808978
258.0,327,HCF,2.612867,2.61233,0.009784,62.5837,True,0.879856,0.919157,0.787611
278.5,347,HCF,2.637915,2.637691,0.008424,75.6973,True,0.893674,0.916979,0.82267
298.25,367,HCF,2.617818,2.617773,0.009241,66.85,True,0.879466,0.910907,0.802336
318.75,387,HCF,2.662788,2.661994,0.008015,82.5905,True,0.903583,0.939094,0.833516
338.25,407,HCF,2.65493,2.655578,0.008413,77.9268,True,0.901142,0.931806,0.830356
358.75,427,HCF,2.638244,2.638077,0.007797,81.8365,True,0.884412,0.927735,0.812348
378.5,447,HCF,2.647833,2.646762,0.008188,78.9891,True,0.894693,0.935962,0.816792
398.25,467,HCF,2.660876,2.661032,0.007802,84.7231,True,0.904175,0.929677,0.840388
418.25,487,HCF,2.641364,2.642256,0.009474,67.7925,True,0.889235,0.926844,0.817357
437.75,507,HCF,2.623399,2.624257,0.009043,69.0307,True,0.877591,0.924246,0.796309
459.0,527,HCF,2.651763,2.650817,0.008427,77.232,True,0.894185,0.933566,0.824395
478.75,547,HCF,2.653406,2.653109,0.008282,78.8566,True,0.894677,0.935924,0.824217
498.75,567,HCF,2.644155,2.644005,0.008309,77.509,True,0.887589,0.928713,0.819176
518.5,587,HCF,2.658215,2.657601,0.009794,67.1441,True,0.89601,0.929796,0.83673
78.25,87,SMF28,1.393602,1.392403,0.006981,-87.0389,False,0.385306,0.258711,0.226821
89.5,67,SMF28,1.332925,1.333109,0.007707,-86.5336,False,0.376219,0.264986,0.179187
106.0,107,SMF28,1.435064,1.435248,0.00774,-72.9611,False,0.390462,0.276577,0.238276
114.75,127,SMF28,1.460835,1.461131,0.007695,-70.0286,False,0.396264,0.289311,0.244199
117.75,147,SMF28,1.478867,1.479111,0.007728,-67.3989,False,0.400298,0.290803,0.255959
121.75,167,SMF28,1.574328,1.573878,0.007965,-53.4964,False,0.426165,0.322834,0.296793
122.5,187,SMF28,1.667427,1.668159,0.008597,-38.5986,False,0.456882,0.371913,0.323165
140.5,207,SMF28,1.738652,1.739159,0.008521,-30.613,False,0.481222,0.406636,0.349092
159.75,227,SMF28,1.858622,1.859632,0.00821,-17.097,False,0.525639,0.452191,0.411428
178.5,247,SMF28,1.934576,1.934373,0.007746,-8.4727,False,0.558517,0.498152,0.437494
198.75,267,SMF28,2.009829,2.011066,0.008248,1.3416,False,0.591341,0.532295,0.477558
217.75,287,SMF28,2.202657,2.203253,0.00686,29.6279,True,0.664952,0.639389,0.573536
237.25,307,SMF28,2.331319,2.331644,0.006774,48.9618,True,0.724563,0.727556,0.631206
257.0,327,SMF28,2.479743,2.478589,0.005115,93.5673,True,0.800768,0.791964,0.745318
276.25,347,SMF28,2.533113,2.532538,0.005332,99.8708,True,0.832548,0.84438,0.759785
295.25,367,SMF28,2.61097,2.610098,0.005559,109.7523,True,0.877199,0.875251,0.82904
314.25,387,SMF28,2.685928,2.685077,0.003403,201.3026,True,0.918981,0.913278,0.890274
335.25,407,SMF28,2.692251,2.691919,0.002446,282.8832,True,0.92328,0.909943,0.902111
355.5,427,SMF28,2.694696,2.694428,0.002814,246.8124,True,0.925101,0.909049,0.906297
375.75,447,SMF28,2.708528,2.708295,0.002506,282.6672,True,0.934599,0.929543,0.904488
396.75,467,SMF28,2.724718,2.724345,0.00235,308.1839,True,0.942925,0.928998,0.927024
417.5,487,SMF28,2.738439,2.738257,0.002459,300.2418,True,0.952417,0.948175,0.926588
436.5,507,SMF28,2.744856,2.744668,0.002217,335.8537,True,0.956783,0.958468,0.925092
456.25,527,SMF28,2.737374,2.73701,0.002586,285.0138,True,0.951367,0.956379,0.916925
476.75,547,SMF28,2.742039,2.741762,0.002505,296.0811,True,0.954989,0.95775,0.921945
497.0,567,SMF28,2.743927,2.744011,0.002443,304.5089,True,0.955492,0.960413,0.921871
517.5,587,SMF28,2.745875,2.745363,0.002486,299.7906,True,0.956918,0.964284,0.920674
