dt_ps,vpos,fiber,F_mean,F_std,W,W_std,entangled_2sig,E_ZZ,E_XX,E_YY
37.75,67,HCF,0.478997,0.004445,0.021003,0.004445,False,0.004218,-0.430448,-0.49105
38.5,87,HCF,0.473689,0.004408,0.026311,0.004408,False,-0.01714,-0.438287,-0.440392
39.75,107,HCF,0.497877,0.004083,0.002123,0.004083,False,-0.052308,-0.452477,-0.486168
58.5,127,HCF,0.566523,0.004282,-0.066523,0.004282,True,-0.180484,-0.53816,-0.543917
78.0,147,HCF,0.694966,0.004279,-0.194966,0.004279,True,-0.450346,-0.651304,-0.680491
97.25,167,HCF,0.802194,0.004561,-0.302194,0.004561,True,-0.658898,-0.751825,-0.796838
116.75,187,HCF,0.881599,0.003234,-0.381599,0.003234,True,-0.82636,-0.843922,-0.855716
136.75,207,HCF,0.907884,0.00292,-0.407884,0.00292,True,-0.90091,-0.845839,-0.882665
157.5,227,HCF,0.927255,0.002779,-0.427255,0.002779,True,-0.930233,-0.885426,-0.893187
177.5,247,HCF,0.94059,0.002531,-0.44059,0.002531,True,-0.957904,-0.893351,-0.909112
197.75,267,HCF,0.939701,0.002634,-0.439701,0.002634,True,-0.963612,-0.895859,-0.899906
218.5,287,HCF,0.938119,0.00261,-0.438119,0.00261,True,-0.959784,-0.892028,-0.900526
238.0,307,HCF,0.939756,0.002327,-0.439756,0.002327,True,-0.958314,-0.896222,-0.904999
258.0,327,HCF,0.934904,0.002844,-0.434904,0.002844,True,-0.9613,-0.88785,-0.890524
278.5,347,HCF,0.941876,0.002513,-0.441876,0.002513,True,-0.968381,-0.900071,-0.89947
298.25,367,HCF,0.934863,0.002676,-0.434863,0.002676,True,-0.965501,-0.877413,-0.89642
318.75,387,HCF,0.945695,0.002488,-0.445695,0.002488,True,-0.971343,-0.902152,-0.909966
338.25,407,HCF,0.94557,0.002591,-0.44557,0.002591,True,-0.971582,-0.89188,-0.917914
358.75,427,HCF,0.941032,0.002473,-0.441032,0.002473,True,-0.965139,-0.898248,-0.900903
378.5,447,HCF,0.942748,0.0024,-0.442748,0.0024,True,-0.968074,-0.89029,-0.914093
398.25,467,HCF,0.94996,0.002313,-0.44996,0.002313,True,-0.974563,-0.899003,-0.926446
418.25,487,HCF,0.942795,0.002769,-0.442795,0.002769,True,-0.974737,-0.885676,-0.910481
437.75,507,HCF,0.940053,0.002674,-0.440053,0.002674,True,-0.973851,-0.884213,-0.901218
459.0,527,HCF,0.942912,0.002513,-0.442912,0.002513,True,-0.974613,-0.883929,-0.914649
478.75,547,HCF,0.943603,0.002441,-0.443603,0.002441,True,-0.97462,-0.889193,-0.910455
498.75,567,HCF,0.941041,0.002359,-0.441041,0.002359,True,-0.973278,-0.876894,-0.91434
518.5,587,HCF,0.942986,0.002823,-0.442986,0.002823,True,-0.972386,-0.887646,-0.911586
78.25,87,SMF28,0.497492,0.001674,0.002508,0.001674,False,-0.005195,-0.486203,-0.498927
89.5,67,SMF28,0.494008,0.001729,0.005992,0.001729,False,-0.010084,-0.452011,-0.513906
106.0,107,SMF28,0.512858,0.001671,-0.012858,0.001671,True,-0.040533,-0.496042,-0.51508
114.75,127,SMF28,0.527144,0.001743,-0.027144,0.001743,True,-0.078002,-0.51064,-0.520049
117.75,147,SMF28,0.535142,0.001716,-0.035142,0.001716,True,-0.096247,-0.519443,-0.524078
121.75,167,SMF28,0.570082,0.001774,-0.070082,0.001774,True,-0.169067,-0.552226,-0.559087
122.5,187,SMF28,0.5988,0.001744,-0.0988,0.001744,True,-0.224268,-0.578087,-0.592662
140.5,207,SMF28,0.623923,0.001899,-0.123923,0.001899,True,-0.27561,-0.606881,-0.613214
159.75,227,SMF28,0.663966,0.00188,-0.163966,0.00188,True,-0.350849,-0.649389,-0.654819
178.5,247,SMF28,0.684008,0.001832,-0.184008,0.001832,True,-0.38658,-0.670778,-0.680013
198.75,267,SMF28,0.714342,0.001889,-0.214342,0.001889,True,-0.450781,-0.692723,-0.713298
217.75,287,SMF28,0.778277,0.001578,-0.278277,0.001578,True,-0.570751,-0.763018,-0.779462
237.25,307,SMF28,0.826923,0.001603,-0.326923,0.001603,True,-0.676783,-0.794577,-0.836395
257.0,327,SMF28,0.87823,0.001413,-0.37823,0.001413,True,-0.786176,-0.867046,-0.860508
276.25,347,SMF28,0.896517,0.001223,-0.396517,0.001223,True,-0.818268,-0.866741,-0.900666
295.25,367,SMF28,0.922993,0.001062,-0.422993,0.001062,True,-0.880342,-0.899793,-0.911501
314.25,387,SMF28,0.945668,0.000934,-0.445668,0.000934,True,-0.920395,-0.921537,-0.940869
335.25,407,SMF28,0.948419,0.000832,-0.448419,0.000832,True,-0.930471,-0.927163,-0.93627
355.5,427,SMF28,0.949278,0.000954,-0.449278,0.000954,True,-0.931381,-0.925959,-0.939612
375.75,447,SMF28,0.954145,0.000781,-0.454145,0.000781,True,-0.94226,-0.93083,-0.943315
396.75,467,SMF28,0.958942,0.000778,-0.458942,0.000778,True,-0.948149,-0.935307,-0.95257
417.5,487,SMF28,0.96456,0.000766,-0.46456,0.000766,True,-0.953716,-0.945929,-0.958639
436.5,507,SMF28,0.966246,0.000709,-0.466246,0.000709,True,-0.961618,-0.944505,-0.959051
456.25,527,SMF28,0.963706,0.000864,-0.463706,0.000864,True,-0.962868,-0.936698,-0.955491
476.75,547,SMF28,0.965544,0.000775,-0.465544,0.000775,True,-0.965568,-0.941286,-0.955618
497.0,567,SMF28,0.965941,0.000802,-0.465941,0.000802,True,-0.967828,-0.938088,-0.957493
517.5,587,SMF28,0.966625,0.000768,-0.466625,0.000768,True,-0.970528,-0.941027,-0.955111
