dt_ps,fiber,S,S_std,S_sig,nonlocal_M3,purity_M3,C,C_std,ent_M4,F,F_std,W,W_std,ent_M1,all_agree
37.75,HCF,1.21968,0.017323,-45.0455,False,0.366709,0.001082,0.002738,False,0.478997,0.004445,0.021003,0.004445,False,True
38.5,HCF,1.264754,0.019939,-36.8747,False,0.365668,0.000147,0.001031,False,0.473689,0.004408,0.026311,0.004408,False,True
39.75,HCF,1.330688,0.018668,-35.8532,False,0.376456,0.027949,0.008598,True,0.497877,0.004083,0.002123,0.004083,False,False
58.5,HCF,1.531717,0.021004,-22.295,False,0.41366,0.146974,0.00895,True,0.566523,0.004282,-0.066523,0.004282,True,False
78.0,HCF,1.876627,0.018875,-6.5363,False,0.530573,0.424576,0.009026,True,0.694966,0.004279,-0.194966,0.004279,True,False
97.25,HCF,2.216527,0.015193,14.2519,True,0.662173,0.624784,0.008057,True,0.802194,0.004561,-0.302194,0.004561,True,True
116.75,HCF,2.406559,0.019167,21.2113,True,0.778592,0.807301,0.011253,True,0.881599,0.003234,-0.381599,0.003234,True,True
136.75,HCF,2.507293,0.012579,40.3286,True,0.81593,0.836032,0.006579,True,0.907884,0.00292,-0.407884,0.00292,True,True
157.5,HCF,2.567734,0.01144,49.626,True,0.854503,0.874561,0.005233,True,0.927255,0.002779,-0.427255,0.002779,True,True
177.5,HCF,2.643909,0.009624,66.9077,True,0.894139,0.902027,0.005797,True,0.94059,0.002531,-0.44059,0.002531,True,True
197.75,HCF,2.642059,0.009065,70.8258,True,0.892333,0.899257,0.004974,True,0.939701,0.002634,-0.439701,0.002634,True,True
218.5,HCF,2.630671,0.008914,70.7495,True,0.884659,0.894851,0.005572,True,0.938119,0.00261,-0.438119,0.00261,True,True
238.0,HCF,2.627187,0.009204,68.1419,True,0.886347,0.897682,0.005014,True,0.939756,0.002327,-0.439756,0.002327,True,True
258.0,HCF,2.61233,0.009784,62.5837,True,0.879856,0.885999,0.005467,True,0.934904,0.002844,-0.434904,0.002844,True,True
278.5,HCF,2.637691,0.008424,75.6973,True,0.893674,0.903564,0.004827,True,0.941876,0.002513,-0.441876,0.002513,True,True
298.25,HCF,2.617773,0.009241,66.85,True,0.879466,0.892855,0.005483,True,0.934863,0.002676,-0.434863,0.002676,True,True
318.75,HCF,2.661994,0.008015,82.5905,True,0.903583,0.91032,0.004703,True,0.945695,0.002488,-0.445695,0.002488,True,True
338.25,HCF,2.655578,0.008413,77.9268,True,0.901142,0.909745,0.005748,True,0.94557,0.002591,-0.44557,0.002591,True,True
358.75,HCF,2.638077,0.007797,81.8365,True,0.884412,0.89868,0.004399,True,0.941032,0.002473,-0.441032,0.002473,True,True
378.5,HCF,2.646762,0.008188,78.9891,True,0.894693,0.899712,0.005271,True,0.942748,0.0024,-0.442748,0.0024,True,True
398.25,HCF,2.661032,0.007802,84.7231,True,0.904175,0.914036,0.004959,True,0.94996,0.002313,-0.44996,0.002313,True,True
418.25,HCF,2.642256,0.009474,67.7925,True,0.889235,0.90103,0.004662,True,0.942795,0.002769,-0.442795,0.002769,True,True
437.75,HCF,2.624257,0.009043,69.0307,True,0.877591,0.889254,0.005445,True,0.940053,0.002674,-0.440053,0.002674,True,True
459.0,HCF,2.650817,0.008427,77.232,True,0.894185,0.905253,0.00498,True,0.942912,0.002513,-0.442912,0.002513,True,True
478.75,HCF,2.653109,0.008282,78.8566,True,0.894677,0.904994,0.00474,True,0.943603,0.002441,-0.443603,0.002441,True,True
498.75,HCF,2.644005,0.008309,77.509,True,0.887589,0.902994,0.005499,True,0.941041,0.002359,-0.441041,0.002359,True,True
518.5,HCF,2.657601,0.009794,67.1441,True,0.89601,0.911147,0.004904,True,0.942986,0.002823,-0.442986,0.002823,True,True
78.25,SMF28,1.392403,0.006981,-87.0389,False,0.385306,0.001728,0.002141,False,0.497492,0.001674,0.002508,0.001674,False,True
89.5,SMF28,1.333109,0.007707,-86.5336,False,0.376219,0.0,0.0,False,0.494008,0.001729,0.005992,0.001729,False,True
106.0,SMF28,1.435248,0.00774,-72.9611,False,0.390462,0.025795,0.003798,True,0.512858,0.001671,-0.012858,0.001671,True,False
114.75,SMF28,1.461131,0.007695,-70.0286,False,0.396264,0.053651,0.003423,True,0.527144,0.001743,-0.027144,0.001743,True,False
117.75,SMF28,1.479111,0.007728,-67.3989,False,0.400298,0.069521,0.003664,True,0.535142,0.001716,-0.035142,0.001716,True,False
121.75,SMF28,1.573878,0.007965,-53.4964,False,0.426165,0.147357,0.003688,True,0.570082,0.001774,-0.070082,0.001774,True,False
122.5,SMF28,1.668159,0.008597,-38.5986,False,0.456882,0.231144,0.003937,True,0.5988,0.001744,-0.0988,0.001744,True,False
140.5,SMF28,1.739159,0.008521,-30.613,False,0.481222,0.293648,0.003629,True,0.623923,0.001899,-0.123923,0.001899,True,False
159.75,SMF28,1.859632,0.00821,-17.097,False,0.525639,0.39746,0.003814,True,0.663966,0.00188,-0.163966,0.00188,True,False
178.5,SMF28,1.934373,0.007746,-8.4727,False,0.558517,0.481345,0.004006,True,0.684008,0.001832,-0.184008,0.001832,True,False
198.75,SMF28,2.011066,0.008248,1.3416,False,0.591341,0.563313,0.004077,True,0.714342,0.001889,-0.214342,0.001889,True,False
217.75,SMF28,2.203253,0.00686,29.6279,True,0.664952,0.652933,0.003938,True,0.778277,0.001578,-0.278277,0.001578,True,True
237.25,SMF28,2.331644,0.006774,48.9618,True,0.724563,0.721189,0.003225,True,0.826923,0.001603,-0.326923,0.001603,True,True
257.0,SMF28,2.478589,0.005115,93.5673,True,0.800768,0.794117,0.00237,True,0.87823,0.001413,-0.37823,0.001413,True,True
276.25,SMF28,2.532538,0.005332,99.8708,True,0.832548,0.822294,0.0027,True,0.896517,0.001223,-0.396517,0.001223,True,True
295.25,SMF28,2.610098,0.005559,109.7523,True,0.877199,0.863081,0.002569,True,0.922993,0.001062,-0.422993,0.001062,True,True
314.25,SMF28,2.685077,0.003403,201.3026,True,0.918981,0.902286,0.002071,True,0.945668,0.000934,-0.445668,0.000934,True,True
335.25,SMF28,2.691919,0.002446,282.8832,True,0.92328,0.907224,0.002013,True,0.948419,0.000832,-0.448419,0.000832,True,True
355.5,SMF28,2.694428,0.002814,246.8124,True,0.925101,0.90743,0.001946,True,0.949278,0.000954,-0.449278,0.000954,True,True
375.75,SMF28,2.708295,0.002506,282.6672,True,0.934599,0.91897,0.002105,True,0.954145,0.000781,-0.454145,0.000781,True,True
396.75,SMF28,2.724345,0.00235,308.1839,True,0.942925,0.929452,0.001858,True,0.958942,0.000778,-0.458942,0.000778,True,True
417.5,SMF28,2.738257,0.002459,300.2418,True,0.952417,0.938903,0.001714,True,0.96456,0.000766,-0.46456,0.000766,True,True
436.5,SMF28,2.744668,0.002217,335.8537,True,0.956783,0.945221,0.001706,True,0.966246,0.000709,-0.466246,0.000709,True,True
456.25,SMF28,2.73701,0.002586,285.0138,True,0.951367,0.939891,0.001827,True,0.963706,0.000864,-0.463706,0.000864,True,True
476.75,SMF28,2.741762,0.002505,296.0811,True,0.954989,0.946261,0.001653,True,0.965544,0.000775,-0.465544,0.000775,True,True
497.0,SMF28,2.744011,0.002443,304.5089,True,0.955492,0.945699,0.001706,True,0.965941,0.000802,-0.465941,0.000802,True,True
517.5,SMF28,2.745363,0.002486,299.7906,True,0.956918,0.946631,0.001791,True,0.966625,0.000768,-0.466625,0.000768,True,True
